City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,bredasdorp,70,ZA,1586114817,82,-34.53,20.04,289.15,4.6
88,esmeraldas,40,BR,1586114817,51,-19.76,-44.31,304.15,3.1
89,albany,90,US,1586114817,55,42.6,-73.97,289.82,2.1
90,guerrero negro,67,MX,1586114817,59,27.98,-114.06,290.21,4.96
91,yuancheng,52,CN,1586114817,31,36.65,107.79,281.77,2.45
92,victoria,40,HK,1586114817,88,22.29,114.16,291.15,3.6
93,jalu,13,LY,1586114817,41,29.03,21.55,292.71,4.96
94,severo-kurilsk,18,RU,1586114797,88,50.68,156.12,271.78,2.69
95,vaini,75,TO,1586114527,83,-21.2,-175.2,296.15,2.6
96,kuliyapitiya,75,LK,1586114818,83,7.47,80.04,302.15,1.0
97,avarua,75,CK,1586114818,88,-21.21,-159.78,300.15,5.7
98,adelaide,20,AU,1586114763,93,-34.93,138.6,286.48,3.08
99,norman wells,20,CA,1586114819,62,65.28,-126.83,267.15,10.3
100,estelle,75,US,1586114819,61,29.85,-90.11,300.15,5.1
101,tomatlan,65,MX,1586114819,28,19.93,-105.25,304.21,3.42
102,polyarnyy,80,RU,1586114819,58,69.2,33.45,269.15,2.0
103,yulara,80,AU,1586114767,36,-25.24,130.99,289.15,3.6
104,sur,39,OM,1586114819,28,22.57,59.53,304.57,2.84
105,lasa,5,IT,1586114819,52,46.62,10.7,290.15,1.0
106,deputatskiy,100,RU,1586114819,87,69.3,139.9,257.12,1.95
107,ryabovo,69,RU,1586114820,74,59.4,31.13,272.15,2.0
108,mitsamiouli,92,KM,1586114537,67,-11.38,43.28,301.9,1.15
109,praia,20,CV,1586114541,64,14.92,-23.51,297.15,10.3
110,roebourne,94,AU,1586114820,55,-20.78,117.13,300.62,4.74
111,north valley,75,US,1586114820,15,35.17,-106.62,293.15,6.2
112,santander,40,ES,1586114791,49,43.46,-3.8,294.26,3.1
113,faya,34,SA,1586114821,48,18.39,42.45,291.15,3.6
114,westport,90,US,1586114647,71,41.14,-73.36,292.04,4.1
115,narsaq,99,GL,1586114766,25,60.92,-46.05,271.15,7.7
116,alice springs,21,AU,1586114778,71,-23.7,133.88,284.15,4.31
117,lazaro cardenas,68,MX,1586114821,41,17.96,-102.2,303.93,3.95
118,la ronge,40,CA,1586114822,45,55.1,-105.28,269.15,4.6
119,cayenne,75,GF,1586114822,62,4.93,-52.33,304.15,7.2
120,santa cruz,40,BO,1586114694,55,-17.8,-63.17,305.15,11.3
121,kupang,26,ID,1586114822,77,-10.17,123.58,300.97,2.0
122,angoram,99,PG,1586114822,97,-4.06,144.07,296.9,1.19
123,vezirkopru,75,TR,1586114822,76,41.14,35.45,282.15,11.8
124,beachwood,90,US,1586114823,86,41.46,-81.51,283.71,3.6
125,kavieng,12,PG,1586114584,74,-2.57,150.8,301.24,2.5
126,maceio,20,BR,1586114799,70,-9.67,-35.74,303.15,6.2
127,port hardy,20,CA,1586114528,65,50.7,-127.42,280.15,3.6
128,pangnirtung,75,CA,1586114823,66,66.15,-65.71,262.15,4.6
129,talnakh,40,RU,1586114823,92,69.49,88.4,273.15,8.0
130,berlevag,20,NO,1586114823,73,70.86,29.09,270.15,8.2
131,vao,100,NC,1586114824,78,-22.67,167.48,297.99,10.79
132,sola,100,VU,1586114824,80,-13.88,167.55,301.44,14.15
